time=2024-09-12T19:21:19.739+05:00 level=ERROR msg="Server localhost:8083 is down\n"
time=2024-09-13T14:37:52.198+05:00 level=INFO msg="Starting server on :8082"
time=2024-09-13T14:37:52.198+05:00 level=INFO msg="Starting server on :8081"
time=2024-09-13T14:37:52.198+05:00 level=INFO msg="Starting server on :8083"
time=2024-09-13T14:40:27.586+05:00 level=INFO msg="Starting server on :8081"
time=2024-09-13T14:40:27.586+05:00 level=INFO msg="Starting server on :8083"
time=2024-09-13T14:40:27.586+05:00 level=INFO msg="Starting server on :8082"
time=2024-09-13T14:40:27.587+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:40:27.587+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:40:27.587+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:40:37.597+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:40:37.597+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:40:37.598+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:40:47.608+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:40:47.608+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:40:47.609+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:40:57.617+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:40:57.618+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:40:57.618+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:07.627+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:07.628+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:07.628+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:17.639+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:17.639+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:17.640+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:27.650+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:27.651+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:27.652+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:37.662+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:37.663+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:37.663+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:47.674+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:47.674+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:47.675+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:41:57.685+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:41:57.686+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:41:57.687+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:42:07.696+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:42:07.697+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:42:07.697+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:42:17.707+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:42:17.707+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:42:17.708+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:42:27.717+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:42:27.717+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:42:27.731+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:42:37.741+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:42:37.741+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
time=2024-09-13T14:42:37.742+05:00 level=INFO msg="Server localhost:8083 is healthy\n"
time=2024-09-13T14:42:47.752+05:00 level=INFO msg="Server localhost:8081 is healthy\n"
time=2024-09-13T14:42:47.752+05:00 level=INFO msg="Server localhost:8082 is healthy\n"
